NOMBRE,PARTIDO
Acate Coronel Eduardo Geovanni,ALIANZA PARA EL PROGRESO
Acuña Peralta Humberto,ALIANZA PARA EL PROGRESO
Aguilar Zamora Manuel,ACCIÓN POPULAR
Alencastre Miranda Hirma Norma,SOMOS PERÚ
Aliaga Pajares Guillermo Alejandro Antonio,SOMOS PERÚ
Almerí Veramendi Carlos Alberto,PODEMOS PERÚ
Alonzo Fernández Gilbert Juan,FUERZA POPULAR
Ancalle Gutierrez José Luis,FRENTE AMPLIO
Apaza Quispe Yessica Marisela,UNIÓN POR EL PERÚ
"Arapa Roque, Jesús Orlando",NUEVA CONSTITUCIÓN
Arias Cáceres Héctor Jesús,NUEVA CONSTITUCIÓN
Ascona Calderón Walter Yonni,ALIANZA PARA EL PROGRESO
Ayasta de Díaz Rita Elena,FUERZA POPULAR
Ayquipa Torres Julia Benigna,FREPAP
Bajonero Olivas Wilmer Solis,ACCIÓN POPULAR
Barrionuevo Romero Betto,DESCENTRALIZACIÓN DEMOCRÁTICA
Bartolo Romero María Isabel,NUEVA CONSTITUCIÓN
Bazán Villanueva Lenin Fernando,FRENTE AMPLIO
Benavides Gavidia Walter,ALIANZA PARA EL PROGRESO
Benites Agurto Alfredo,FREPAP
Burga Chuquipiondo Ricardo Miguel,ACCIÓN POPULAR
Cabrera Pino Benigno Leonel,UNIÓN POR EL PERÚ
Cabrera Vega María Teresa,PODEMOS PERÚ
Campos Villalobos Rolando,NO AGRUPADOS
Carcausto Huanca Irene,ALIANZA PARA EL PROGRESO
Castillo Oliva Luis Felipe,PODEMOS PERÚ
Cayguaray Gambini Luz Milagros,FREPAP
Cayllahua Barrientos Wilmer,FREPAP
Céspedes Cárdenas María Teresa,FREPAP
Chagua Payano Posemoscrowte Irrhoscopt,UNIÓN POR EL PERÚ
Chavarría Vilcatoma Roberto Carlos,UNIÓN POR EL PERÚ
Chávez Cossío Martha Gladys,FUERZA POPULAR
Checco Chauca Lenin Abraham,FRENTE AMPLIO
Chehade Moya Omar Karim,ALIANZA PARA EL PROGRESO
Columbus Murata Diethell,FUERZA POPULAR
Combina Salvatierra Cesar Augusto,ALIANZA PARA EL PROGRESO
"Condori Flores, Julio Fredy",ALIANZA PARA EL PROGRESO
Contreras Bautista Cindy Arlette,NO AGRUPADOS
Costa Santolalla Gino Francisco,PARTIDO MORADO
De Belaunde De Cárdenas Alberto,PARTIDO MORADO
Dioses Guzmán Luis Reymundo,SOMOS PERÚ
Durand Bustamante Kenyon Eduardo,ACCIÓN POPULAR
Espinoza Rosales Rennán Samuel,NO AGRUPADOS
Espinoza Velarde Yeremi Aron,PODEMOS PERÚ
Fabián Díaz Yessy Nélida,ACCIÓN POPULAR
Fernández Chacón Carlos Enrique,FRENTE AMPLIO
Fernández Florez Matilde,SOMOS PERÚ
Flores Villegas Johan,PODEMOS PERÚ
Gallardo Becerra María Martina,PODEMOS PERÚ
García Oviedo Paul Gabriel,ACCIÓN POPULAR
García Rodríguez Cecilia,PODEMOS PERÚ
Gonzales Santos Miguel Angel,PARTIDO MORADO
Gonzales Tuanama César,DESCENTRALIZACIÓN DEMOCRÁTICA
Gonzalez Cruz Moises,NUEVA CONSTITUCIÓN
Guibovich Arteaga Otto Napoleón,ACCIÓN POPULAR
Gupioc Rios Robinson Dociteo,PODEMOS PERÚ
Gutarra Ramos Robledo Noé,FREPAP
Hidalgo Zamalloa Alexander,ALIANZA PARA EL PROGRESO
Huamán Champi Juan de Dios,FREPAP
Huamani Machaca Nelly,FREPAP
Inga Sales Leonardo,ACCIÓN POPULAR
Lazo Villón Leslye Carol,ACCIÓN POPULAR
Lizana Santos Mártires,FUERZA POPULAR
Lizárraga Houghton Carolina,PARTIDO MORADO
Llaulli Romero Freddy,ACCIÓN POPULAR
Lozano Inostroza Alexander,UNIÓN POR EL PERÚ
Luna Morales José Luis,PODEMOS PERÚ
Machaca Mamani Raúl,FREPAP
Mamani Barriga Jim Ali,NUEVA CONSTITUCIÓN
Maquera Chavez Héctor Simon,UNIÓN POR EL PERÚ
Meléndez Celis Fernando,ALIANZA PARA EL PROGRESO
Mendoza Marquina Javier,UNIÓN POR EL PERÚ
Merino De Lama Manuel Arturo,ACCIÓN POPULAR
Merino Lopez Omar,ALIANZA PARA EL PROGRESO
Mesía Ramirez Carlos Fernando,FUERZA POPULAR
Montoya Guivin Absalón,FRENTE AMPLIO
"Novoa Cruzado, Anthony Renson",ACCIÓN POPULAR
Núñez Marreros Jesús del Carmen,FREPAP
Núñez Salas José Antonio,PARTIDO MORADO
Olivares Cortés Daniel Federico,PARTIDO MORADO
Omonte Durand María Del Carmen,ALIANZA PARA EL PROGRESO
Oseda Yucra Daniel,FREPAP
Oyola Rodríguez Juan Carlos,ACCIÓN POPULAR
Palomino Saavedra Angélica María,PARTIDO MORADO
Pantoja Calvo Ruben,UNIÓN POR EL PERÚ
"Paredes Eyzaguirre, Rosario",ACCIÓN POPULAR
Pérez Espíritu Lusmila,ALIANZA PARA EL PROGRESO
Pérez Flores Jorge Luis,SOMOS PERÚ
Pérez Mimbela Jhosept Amado,ALIANZA PARA EL PROGRESO
Pérez Ochoa Carlos Andrés,ACCIÓN POPULAR
Pichilingue Gomez Marcos Antonio,FUERZA POPULAR
Pineda Santos Isaías,FREPAP
Pinedo Achaca Liliana Angélica,FUERZA POPULAR
Puño Lecarnaque Napoleón,ALIANZA PARA EL PROGRESO
Quispe Apaza Yvan,FRENTE AMPLIO
Quispe Suárez Mario Javier,ALIANZA PARA EL PROGRESO
Ramos Zapana Rubén,NUEVA CONSTITUCIÓN
Rayme Marín Alcides,FREPAP
Retamozo Lezama María Cristina,FREPAP
Rivas Ocejo Perci,ALIANZA PARA EL PROGRESO
Rivera Guerra Walter Jesús,ACCIÓN POPULAR
Rodas Malca Tania Rosalia,ALIANZA PARA EL PROGRESO
Roel Alva Luis Andrés,ACCIÓN POPULAR
Rubio Gariza Richard,FREPAP
Ruíz Pinedo Rolando Rubén,ACCIÓN POPULAR
Saavedra Ocharán Mónica Elizabeth,ACCIÓN POPULAR
Sagasti Hochhausler Francisco Rafael,PARTIDO MORADO
Salinas López Franco,ACCIÓN POPULAR
Sánchez Luis Orestes Pompeyo,PODEMOS PERÚ
"Santillana Paredes, Robertina",ALIANZA PARA EL PROGRESO
Silupu Inga María Luisa,FUERZA POPULAR
Silva Santisteban Manrique Rocío Yolanda Angélica,FRENTE AMPLIO
Simeón Hurtado Luis Carlos,ACCIÓN POPULAR
Solis Gutiérrez Zenaida,PARTIDO MORADO
Tito Ortega Erwin,FUERZA POPULAR
Tocto Guerrero Felícita Madaleine,DESCENTRALIZACIÓN DEMOCRÁTICA
Troyes Delgado Hans,ACCIÓN POPULAR
Trujillo Zegarra Gilmer,FUERZA POPULAR
Urresti Elera Daniel Belizario,PODEMOS PERÚ
Valdez Farías Luis Alberto,ALIANZA PARA EL PROGRESO
Valer Collado Valeria Carolina,FUERZA POPULAR
Vásquez Becerra Jorge,NO AGRUPADOS
Vásquez Chuquilin Mirtha Esther,FRENTE AMPLIO
Vásquez Tan Grimaldo,DESCENTRALIZACIÓN DEMOCRÁTICA
Vega Antonio José Alejandro,UNIÓN POR EL PERÚ
Verde Heidinger Marco Antonio,ALIANZA PARA EL PROGRESO
Vigo Gutiérrez Widman Napoleón,FUERZA POPULAR
Vivanco Reyes Miguel Angel,FUERZA POPULAR
Yupanqui Miñano Mariano Andrés,DESCENTRALIZACIÓN DEMOCRÁTICA
Zarate Anton Edward Alexander,FUERZA POPULAR
